	SamID	Number	chrom	loc.start	loc.end	seg.median	seg.sd	num.mark	Call	subsegment	segment	AvgBAF
54	CL001	1	4	111102039	114201226	0.014826837	0.164395327	602	N02.BalHet	19	1.4.19	0.482427031
55	CL001	1	4	114205375	114206818	-0.7277571	0.548531476	5	N01.Homozygous	20	1.4.20	0.048327074
56	CL001	1	4	114207494	132859693	0.032830412	0.154700982	3377	N02.BalHet	21	1.4.21	0.48640162
57	CL001	1	4	132869027	132894098	-0.2817546	0.20984248	9	N01.Homozygous	22	1.4.22	0.5
58	CL001	1	4	132906627	134343586	0.093346865	0.183429531	180	N02.BalHet	23	1.4.23	0.479376655
59	CL001	1	4	134346726	134359100	-3.878077	2.29431985	5	DoubleLoss	24	1.4.24	0.411463172
60	CL001	1	4	134371364	191252241	0.021187422	0.202180517	11342	N02.BalHet	25	1.4.25	0.486059987
61	CL001	1	5	73747	27437692	0.015355219	0.180137855	6401	N02.BalHet	1	1.5.1	0.487758441
62	CL001	1	5	27454644	27462654	-0.6246491	0.43945798	5	N01.Homozygous	2	1.5.2	0.5
63	CL001	1	5	27483620	51724287	0.017043621	0.164561526	4074	N02.BalHet	3	1.5.3	0.481734093
64	CL001	1	5	51724579	52136984	0.016627083	0.16272736	127	N02.Homozygous	4	1.5.4	0.49762427
65	CL001	1	5	52138399	79731126	-0.003456079	0.172535837	5930	N02.BalHet	5	1.5.5	0.485028474
66	CL001	1	5	79736160	80276295	-0.00262989	0.140208315	110	N02.Homozygous	6	1.5.6	0.5
67	CL001	1	5	80282407	101319859	0.02183786	0.185119234	3537	N02.BalHet	7	1.5.7	0.48764118
68	CL001	1	5	101336295	102071929	0.02832841	0.151500014	139	N02.Homozygous	8	1.5.8	0.056745877
69	CL001	1	5	102074476	180837061	-0.006328151	0.15378907	17093	N02.BalHet	9	1.5.9	0.486100044
70	CL001	1	6	34571	26817570	-0.006095719	0.149033391	7616	N02.BalHet	1	1.6.1	0.486057486
71	CL001	1	6	26818370	26965995	-0.042334145	0.13950081	22	N02.UnbalHet	2	1.6.2	0.294966283
72	CL001	1	6	26985276	28941204	-0.01453892	0.145177937	346	N02.BalHet	3	1.6.3	0.4839568
73	CL001	1	6	28941486	29645203	-0.004511518	0.158147942	186	N02.Homozygous	4	1.6.4	0.227840071
74	CL001	1	6	29645954	29821252	-0.06690795	0.155453472	97	N02.BalHet	5	1.6.5	0.451578224
75	CL001	1	6	29821905	30400126	-0.034505241	0.33860077	798	N02.Homozygous	6	1.6.6	0.228920341
76	CL001	1	6	30401165	32560168	-0.05273061	0.244524998	3131	N02.BalHet	7	1.6.7	0.476418283
77	CL001	1	6	32563460	32592346	-2.570329062	1.754032463	26	DoubleLoss	8	1.6.8	0.328102217
78	CL001	1	6	32593470	32609122	0.04683393	0.308639486	15	N02.BalHet	9	1.6.9	0.384727449
79	CL001	1	6	32610165	32613708	-4.105408	2.729230596	5	DoubleLoss	10	1.6.10	0.206199125
80	CL001	1	6	32615216	45034249	-0.030327807	0.238838332	3699	N02.BalHet	11	1.6.11	0.483941884
81	CL001	1	6	45034409	45476775	0.10275682	0.139517605	59	N03.Homozygous	12	1.6.12	0.031026602
82	CL001	1	6	45479344	67789469	0.024144343	0.202118457	3674	N02.BalHet	13	1.6.13	0.481228429
83	CL001	1	6	67794523	68606717	0.080306795	0.32537693	176	N02.Homozygous	14	1.6.14	0.186562479
84	CL001	1	6	68620049	79022244	0.025740712	0.164065107	2199	N02.BalHet	15	1.6.15	0.484498925
85	CL001	1	6	79029649	79083326	-0.30779415	0.328148029	28	N01.Homozygous	16	1.6.16	0.5
86	CL001	1	6	79086086	81243623	0.010924753	NA	456	N02.BalHet	17	1.6.17	0.487863108
87	CL001	1	6	81244646	82076576	0.049138789	0.155614308	149	N02.Homozygous	18	1.6.18	0.244335617
88	CL001	1	6	82077329	168939452	0.010488624	0.158179578	19472	N02.BalHet	19	1.6.19	0.486010459
89	CL001	1	6	168941127	169251091	-0.01163461	0.145945719	123	N02.Homozygous	20	1.6.20	0.272512175
90	CL001	1	6	169251725	170845877	0.009221769	0.155027446	388	N02.BalHet	21	1.6.21	0.472898229
91	CL001	1	7	37124	46078751	-0.00056075	0.153342513	12259	N02.BalHet	1	1.7.1	0.484575633
92	CL001	1	7	46080359	46142680	-0.04291031	0.354750227	16	N01.UnbalHet	2	1.7.2	0.446946768
93	CL001	1	7	46146057	61311414	0.008706974	0.150638352	2664	N02.BalHet	3	1.7.3	0.482619623
94	CL001	1	7	61374317	61610694	0.050325455	0.156314798	22	N02.UnbalHet	4	1.7.4	0.227310466
95	CL001	1	7	61617364	65380643	-0.00233738	0.159361584	515	N02.BalHet	5	1.7.5	0.467445954
96	CL001	1	7	65382167	65934625	-0.016653804	0.120421423	109	N02.Homozygous	6	1.7.6	0.212938663
97	CL001	1	7	65941858	158812247	0.003993586	0.170908439	18495	N02.BalHet	7	1.7.7	0.484352314
98	CL001	1	8	52041	14951669	0.010799069	NA	6279	N02.BalHet	1	1.8.1	0.480875905
99	CL001	1	8	14952185	14969668	-0.1340227	0.161011819	22	N01.UnbalHet	2	1.8.2	0.470362156
100	CL001	1	8	14971534	16304537	0.05292429	0.16914284	702	N02.BalHet	3	1.8.3	0.486520442
101	CL001	1	8	16306880	16317263	-0.3144882	0.146155751	8	N01.Homozygous	4	1.8.4	0.5
102	CL001	1	8	16326602	39356825	-0.003606989	0.154839206	5561	N02.BalHet	5	1.8.5	0.486532973
103	CL001	1	8	39370187	39497557	-0.40351715	0.485625376	18	N01.Homozygous	6	1.8.6	0.5
104	CL001	1	8	39509376	47281607	-0.0120006	0.141061665	769	N02.BalHet	7	1.8.7	0.486704702
105	CL001	1	8	47287319	49942883	-0.00015179	0.147739909	258	N02.Homozygous	8	1.8.8	0.245915988
106	CL001	1	8	49947198	146264218	-0.000250917	0.152328004	20085	N02.BalHet	9	1.8.9	0.484795115
107	CL001	1	9	36587	9389018	-0.004114837	0.15376469	3647	N02.BalHet	1	1.9.1	0.487338983
108	CL001	1	9	9391487	9809028	0.06079423	0.157842425	148	N02.Homozygous	2	1.9.2	0.5
109	CL001	1	9	9819018	17889606	0.03647502	0.153280413	2567	N02.BalHet	3	1.9.3	0.484162326
110	CL001	1	9	17892936	17908806	-3.980072	2.635842839	5	DoubleLoss	4	1.9.4	0.407985543
111	CL001	1	9	17912697	76665408	0.004416974	0.168209368	6992	N02.BalHet	5	1.9.5	0.484652212
112	CL001	1	9	76666206	77336727	0.012044551	0.158384841	159	N02.Homozygous	6	1.9.6	0.034248222
113	CL001	1	9	77336871	89688030	0.004787312	0.143882292	3119	N02.BalHet	7	1.9.7	0.485283643
114	CL001	1	9	89690225	89771245	-0.07433421	0.173000285	12	N01.UnbalHet	8	1.9.8	0.402033855
115	CL001	1	9	89773341	93991640	-0.02791445	0.139360942	971	N02.BalHet	9	1.9.9	0.483668128
116	CL001	1	9	94001924	95736929	-0.009228402	0.165074754	308	N02.Homozygous	10	1.9.10	0.321270766
117	CL001	1	9	95739110	122345041	-0.004272206	0.149195299	6801	N02.BalHet	11	1.9.11	0.48436117
118	CL001	1	9	122362521	123273842	0.004760944	0.140214881	125	N02.Homozygous	12	1.9.12	0.043273122
119	CL001	1	9	123281190	140225046	-0.03330007	0.142621511	3778	N02.BalHet	13	1.9.13	0.479064288
120	CL001	1	10	59083	20642499	-0.010390263	0.154381317	6724	N02.BalHet	1	1.10.1	0.484125057
121	CL001	1	10	20644383	20882037	-0.014153465	0.127478374	70	N01.UnbalHet	2	1.10.2	0.480442586
122	CL001	1	10	20890630	20895015	-6.429589	1.111562594	7	DoubleLoss	3	1.10.3	0.313589788
123	CL001	1	10	20903251	43627613	-0.0021443	0.148893981	4287	N02.BalHet	4	1.10.4	0.485462646
124	CL001	1	10	43632607	44051001	-0.02015064	0.142802375	106	N02.Homozygous	5	1.10.5	0.032867703
125	CL001	1	10	44052923	45536421	-0.01103981	0.143804233	297	N02.BalHet	6	1.10.6	0.481608284
126	CL001	1	10	45550446	47025300	0.0240194	0.151387849	123	N02.Homozygous	7	1.10.7	0.387815097
127	CL001	1	10	47029909	49888819	-0.019689207	0.188276625	535	N02.BalHet	8	1.10.8	0.489724662
128	CL001	1	10	49889131	50217005	-0.03535992	0.154663061	104	N02.Homozygous	9	1.10.9	0.03720988
129	CL001	1	10	50218909	95999569	0.002516765	0.161467087	10432	N02.BalHet	10	1.10.10	0.485103443
130	CL001	1	10	96000779	96672504	-0.00723304	0.13125281	103	N02.Homozygous	11	1.10.11	0.460995408
131	CL001	1	10	96680361	135372744	-0.011128798	NA	9291	N02.BalHet	12	1.10.12	0.484620361
132	CL001	1	11	123495	36115270	-0.009767071	0.152443247	9107	N02.BalHet	1	1.11.1	0.484315717
133	CL001	1	11	36116523	36543593	-0.009538577	0.160900171	143	N02.Homozygous	2	1.11.2	0.323242948
134	CL001	1	11	36552176	37611788	0.03887886	0.168042639	205	N02.BalHet	3	1.11.3	0.47633787
135	CL001	1	11	37621406	38628226	0.09164977	0.155120255	154	N03.Homozygous	4	1.11.4	0.031560925
136	CL001	1	11	38633155	55147807	0.003869997	0.167302001	2296	N02.BalHet	5	1.11.5	0.480164006
137	CL001	1	11	55148721	55240289	0.1953358	0.293611104	31	N03.Homozygous	6	1.11.6	0.475156722
138	CL001	1	11	55240797	133783597	-0.006484891	0.148579119	17526	N02.BalHet	7	1.11.7	0.484986891
139	CL001	1	11	133795576	134122531	-0.015248815	0.183576423	130	N02.Homozygous	8	1.11.8	0.167541811
140	CL001	1	11	134123615	134445626	-0.01487786	0.157617836	119	N02.BalHet	9	1.11.9	0.471394691
141	CL001	1	12	21054	69158125	-0.005579865	NA	15644	N02.BalHet	1	1.12.1	0.485416046
142	CL001	1	12	69160993	69162893	-5.9452245	0.869424231	6	DoubleLoss	2	1.12.2	0.299413027
143	CL001	1	12	69168994	82541174	0.027997863	0.154880001	2566	N02.BalHet	3	1.12.3	0.484338045
144	CL001	1	12	82545653	84451993	0.055812585	0.156234961	291	N02.Homozygous	4	1.12.4	0.129688369
145	CL001	1	12	84452751	101506998	-0.001749149	0.157698564	3527	N02.BalHet	5	1.12.5	0.486831541
146	CL001	1	12	101508801	101561045	-0.2202223	0.443015658	11	N01.Homozygous	6	1.12.6	0.5
147	CL001	1	12	101561560	131554987	-0.022386425	0.143852576	7108	N02.BalHet	7	1.12.7	0.484293973
148	CL001	1	12	131559940	132288869	-0.030151129	0.153652038	177	N02.Homozygous	8	1.12.8	0.24033399
149	CL001	1	13	17922259	36871766	-0.001725992	0.166997588	4990	N02.BalHet	1	1.13.1	0.48634893
150	CL001	1	13	36877154	69877418	-0.328421016	0.211599865	6885	N01.Homozygous	2	1.13.2	0.099624241
151	CL001	1	13	69877772	84280371	0.031297573	0.157276189	3204	N02.BalHet	3	1.13.3	0.486260801
152	CL001	1	13	84293164	84823550	0.07586982	0.16956672	134	N02.Homozygous	4	1.13.4	0.5
153	CL001	1	13	84824175	103312824	0.025711089	0.153621212	4561	N02.BalHet	5	1.13.5	0.48637113
154	CL001	1	13	103313616	103359522	0.102100505	0.106565927	20	N03.UnbalHet	6	1.13.6	0.268583889
155	CL001	1	13	103360558	114123122	0.011559779	0.144504456	2899	N02.BalHet	7	1.13.7	0.487543241
156	CL001	1	14	18070422	19548603	-0.025956609	0.178776699	232	N02.Homozygous	1	1.14.1	0.298280497
157	CL001	1	14	19550387	86596342	-0.000621363	0.152214137	15192	N02.BalHet	2	1.14.2	0.487976859
158	CL001	1	14	86598814	87268587	-0.001212839	0.144130152	115	N02.Homozygous	3	1.14.3	0.247908712
159	CL001	1	14	87273145	105545204	-0.02699397	0.144442276	4307	N02.BalHet	4	1.14.4	0.484824099
160	CL001	1	14	105569316	105966842	0.2220728	0.282138568	18	N04.BalHet	5	1.14.5	0.419069189
161	CL001	1	14	105987341	106358708	0.019946514	0.131363709	66	N02.BalHet	6	1.14.6	0.465037258
162	CL001	1	15	18285782	19768826	-0.048036128	NA	145	N02.Homozygous	1	1.15.1	0.275668038
163	CL001	1	15	19777876	20219242	-0.250159865	0.163882963	30	N01.Homozygous	2	1.15.2	0.197210355
164	CL001	1	15	20235613	32518050	-0.000651493	0.152935271	2988	N02.BalHet	3	1.15.3	0.486391684
165	CL001	1	15	32530025	33149455	0.021602376	0.138455752	173	N02.Homozygous	4	1.15.4	0.358323301
166	CL001	1	15	33152084	56034208	-0.003798798	0.152779091	4803	N02.BalHet	5	1.15.5	0.485324467
167	CL001	1	15	56034855	56225117	0.059707073	0.152142178	125	N02.Homozygous	6	1.15.6	0.03934189
168	CL001	1	15	56231116	100320863	-0.021350483	0.159179195	10368	N02.BalHet	7	1.15.7	0.486713125
169	CL001	1	16	24780	32410369	-0.023775726	NA	7511	N02.BalHet	1	1.16.1	0.483476461
170	CL001	1	16	32413490	32478340	0.1216192	0.134004922	99	N03.Homozygous	2	1.16.2	0.295747358
171	CL001	1	16	32481352	45015251	-0.008818461	0.166160616	249	N02.Homozygous	3	1.16.3	0.285639788
172	CL001	1	16	45023199	54351802	-0.016160294	0.152485361	1894	N02.BalHet	4	1.16.4	0.48813272
173	CL001	1	16	54355871	54424740	0.09854891	0.122089828	20	N03.UnbalHet	5	1.16.5	0.40388941
174	CL001	1	16	54427229	68698988	0.003267579	0.151142946	2573	N02.BalHet	6	1.16.6	0.485241227
175	CL001	1	16	68715069	68926410	-0.06337993	0.171037878	21	N01.UnbalHet	7	1.16.7	0.351109581
176	CL001	1	16	68939680	88818654	-0.01569837	0.148011198	6449	N02.BalHet	8	1.16.8	0.483973153
177	CL001	1	17	15521	1154217	-0.03751114	0.260411105	367	N02.BalHet	1	1.17.1	0.475980241
178	CL001	1	17	1155912	1159364	-0.4433435	0.301078282	5	N01.Homozygous	2	1.17.2	0.5
179	CL001	1	17	1161646	15591956	-0.016817034	0.145515073	3912	N02.BalHet	3	1.17.3	0.483000202
180	CL001	1	17	15611367	16443705	-0.004152635	0.15005815	122	N02.Homozygous	4	1.17.4	0.429911458
181	CL001	1	17	16447286	41496568	-0.028627961	0.18774645	4188	N02.BalHet	5	1.17.5	0.481348519
182	CL001	1	17	41525626	41781845	0.10391404	0.211233235	29	N03.Homozygous	6	1.17.6	0.315042733
183	CL001	1	17	41785962	42137359	-0.203459523	0.124451415	68	N01.Homozygous	7	1.17.7	0.035825309
184	CL001	1	17	42143493	55413579	-0.014341914	0.14830206	2626	N02.BalHet	8	1.17.8	0.486063218
185	CL001	1	17	55432506	56669039	-0.01884223	0.13591662	166	N02.Homozygous	9	1.17.9	0.167215631
186	CL001	1	17	56669095	68171098	-0.004233728	0.150652969	2312	N02.BalHet	10	1.17.10	0.483590905
187	CL001	1	17	68172005	68400382	-0.04294049	0.158505335	137	N02.Homozygous	11	1.17.11	0.224084825
188	CL001	1	17	68403618	78653169	-0.02690171	0.143926545	2459	N02.BalHet	12	1.17.12	0.481576268
189	CL001	1	18	274	6252393	0.003452309	0.156673882	1598	N02.BalHet	1	1.18.1	0.486380318
190	CL001	1	18	6254811	6263390	-0.3218994	0.376389065	5	N01.Homozygous	2	1.18.2	0.5
191	CL001	1	18	6264885	29888008	0.006375369	0.149216375	4919	N02.BalHet	3	1.18.3	0.486677195
192	CL001	1	18	29902791	30770342	0.044817025	0.148346936	135	N02.Homozygous	4	1.18.4	0.031614362
193	CL001	1	18	30772788	76116152	0.004486973	0.15415826	11160	N02.BalHet	5	1.18.5	0.484259783
194	CL001	1	19	46981	20386247	-0.031118716	0.150140698	3875	N02.BalHet	1	1.19.1	0.480372388
195	CL001	1	19	20404485	20507068	-0.37571625	0.31752578	16	N01.Homozygous	2	1.19.2	0.049358161
196	CL001	1	19	20520617	63802440	-0.024920196	0.160872548	7143	N02.BalHet	3	1.19.3	0.483181624
197	CL001	1	20	11244	50218803	-0.014219804	NA	11614	N02.BalHet	1	1.20.1	0.484838702
198	CL001	1	20	50222625	50766846	-0.005426785	0.143575079	106	N02.Homozygous	2	1.20.2	0.5
199	CL001	1	20	50772458	52080333	-0.02862039	0.154567929	410	N02.BalHet	3	1.20.3	0.489211068
200	CL001	1	20	52081230	52088118	-0.4405162	0.237599583	12	N01.Homozygous	4	1.20.4	0.5
201	CL001	1	20	52094148	62426157	-0.027618001	0.145789701	2953	N02.BalHet	5	1.20.5	0.485208448
202	CL001	1	21	9730102	13407505	-0.06256886	0.213704971	43	N02.UnbalHet	1	1.21.1	0.172582859
203	CL001	1	21	13410014	13433199	-0.174449776	NA	17	N01.Homozygous	2	1.21.2	0.198248602
204	CL001	1	21	13446559	46935542	0.007141559	0.152271825	8793	N02.BalHet	3	1.21.3	0.483684422
205	CL001	1	22	14456412	20749105	-0.02337487	0.184849201	1307	N02.BalHet	1	1.22.1	0.474101289
206	CL001	1	22	20750124	20893068	0.015914313	0.151560156	135	N02.Homozygous	2	1.22.2	0.064164826
207	CL001	1	22	20897762	21036190	-0.00461145	0.127396558	39	N02.UnbalHet	3	1.22.3	0.453325321
208	CL001	1	22	21036563	49562479	-0.028016389	0.142229261	7803	N02.BalHet	4	1.22.4	0.482307273
209	CL002	2	1	10004	70944503	-0.006458458	NA	14365	N02.BalHet	1	2.1.1	0.487180877
210	CL002	2	1	70951063	71188325	0.006028195	0.308361386	112	N02.Homozygous	2	2.1.2	0.173264116
211	CL002	2	1	71194152	71241694	-0.06085135	0.276617098	42	N02.BalHet	3	2.1.3	0.450074995
212	CL002	2	1	71242148	71760084	0.039964922	0.297579859	107	N02.Homozygous	4	2.1.4	0.228828354
213	CL002	2	1	71765118	151026302	0.00928944	NA	11260	N02.BalHet	5	2.1.5	0.482242087
214	CL002	2	1	151032863	151045150	-2.9622935	3.224654519	4	DoubleLoss	6	2.1.6	0.078594143
215	CL002	2	1	151049879	194489352	-0.002111266	0.233170804	8855	N02.BalHet	7	2.1.7	0.484341241
216	CL002	2	1	194490358	194977690	0.09151985	0.221572563	71	N03.Homozygous	8	2.1.8	0.04100089
217	CL002	2	1	194984260	195121926	-0.1372059	1.404430239	19	N01.UnbalHet	9	2.1.9	0.4588802
218	CL002	2	1	195129192	196258355	0.04554189	0.286942783	169	N02.BalHet	10	2.1.10	0.465689765
219	CL002	2	1	196259932	197356853	0.01711114	0.221602675	167	N02.Homozygous	11	2.1.11	0.048021778
220	CL002	2	1	197356978	234352185	-0.008512375	0.231015417	8471	N02.BalHet	12	2.1.12	0.485272033
221	CL002	2	1	234357328	234376647	-0.08321867	0.321487842	12	N01.UnbalHet	13	2.1.13	0.345465323
222	CL002	2	1	234378509	246346107	0.010156615	0.224742156	3346	N02.BalHet	14	2.1.14	0.475433433
223	CL002	2	1	246346518	247185943	0.001468653	0.227941663	108	N02.Homozygous	15	2.1.15	0.401789859
224	CL002	2	2	8856	34544587	0.001507644	0.226025164	8017	N02.BalHet	1	2.2.1	0.486359867
225	CL002	2	2	34556561	34580068	-6.364067	0.645307672	5	DoubleLoss	2	2.2.2	0.183173053
226	CL002	2	2	34592120	50376467	-0.012171077	0.239594484	4195	N02.BalHet	3	2.2.3	0.479191925
227	CL002	2	2	50378188	50749117	0.052095305	0.228929196	110	N02.UnbalHet	4	2.2.4	0.461307129
228	CL002	2	2	50750960	50770177	-0.54929465	0.236356133	6	NoCall	5	2.2.5	0.456207392
229	CL002	2	2	50772471	52153140	0.070948975	0.195850875	406	N02.BalHet	6	2.2.6	0.49451351
230	CL002	2	2	52153976	52558340	-0.04302558	0.284896258	108	N01.UnbalHet	7	2.2.7	0.450790613
231	CL002	2	2	52559075	53180641	0.082096494	0.228383897	186	N02.Homozygous	8	2.2.8	0.268646362
232	CL002	2	2	53196159	141431216	0.004779735	0.229403296	16352	N02.BalHet	9	2.2.9	0.481114262
233	CL002	2	2	141434116	142055517	0.052650808	0.252770311	207	N02.UnbalHet	10	2.2.10	0.437239574
234	CL002	2	2	142059169	148069862	0.003119297	0.241088698	1012	N02.BalHet	11	2.2.11	0.467326621
235	CL002	2	2	148073153	148683337	0.00433953	0.241465057	82	N02.UnbalHet	12	2.2.12	0.428400461
236	CL002	2	2	148684178	177844323	0.003603256	0.227642851	5742	N02.BalHet	13	2.2.13	0.484689236
237	CL002	2	2	177856450	178524219	0.043093685	0.209960809	136	N02.Homozygous	14	2.2.14	0.319874372
238	CL002	2	2	178541360	180610340	0.00307148	0.22731374	534	N02.BalHet	15	2.2.15	0.483271374
239	CL002	2	2	180613155	180706962	-0.024967355	0.239421667	28	N01.UnbalHet	16	2.2.16	0.320207592
240	CL002	2	2	180717205	214753841	0.000495532	0.233543143	5865	N02.BalHet	17	2.2.17	0.481036109
241	CL002	2	2	214754778	215283667	0.028308868	0.268435308	116	N02.Homozygous	18	2.2.18	0.216434594
242	CL002	2	2	215297427	238069867	-0.00399375	0.226291819	5184	N02.BalHet	19	2.2.19	0.484404184
243	CL002	2	2	238078077	238163735	-0.022155355	0.173854525	44	N01.UnbalHet	20	2.2.20	0.392867723
244	CL002	2	2	238164429	239338075	-0.000246019	0.200430334	291	N02.Homozygous	21	2.2.21	0.039349738
245	CL002	2	2	239341312	242692820	-0.005767345	0.212603249	891	N02.BalHet	22	2.2.22	0.474769733
246	CL002	2	3	38411	33938432	0.003226774	0.249567416	9205	N02.BalHet	1	2.3.1	0.485428821
247	CL002	2	3	33938575	34519264	0.041367245	0.14952926	118	N02.Homozygous	2	2.3.2	0.280653688
248	CL002	2	3	34519933	72013626	0.008245495	0.225045372	7806	N02.BalHet	3	2.3.3	0.485625745
249	CL002	2	3	72018711	73403316	0.012306287	0.205189828	357	N02.Homozygous	4	2.3.4	0.169317945
250	CL002	2	3	73409136	192548086	0.009577673	0.240737403	22118	N02.BalHet	5	2.3.5	0.48331781
251	CL002	2	3	192548615	192552678	-0.625408	0.296765142	7	N01.Homozygous	6	2.3.6	0.5
252	CL002	2	3	192555922	199402546	-0.008468285	0.208917618	1262	N02.BalHet	7	2.3.7	0.483962425
